PUBLIC_ID	chromothripsis
d3a84ca9f3cbd10eca7543cab3bc440adc8bd9e96cd9bb464f118e961eab6e19	lowconf
281fc6fbd869978d62e96202d2758993229114145e16f2d0d56fdd6ab3b91df9	negative
454f1737faa6b54c363e9d706d29e9456b0afd216adb9e50d9bb414c8bf307e8	negative
92edc1ad3e041d15c128219b41379d418fc027fc95c32cebb9cb466ee521f998	negative
05bfb03e3ddf8fe35b855364b834b3a67028196e0562386eda12de77ab417934	lowconf
ed22c046acda1d368712d88176258b3575b073288af7bba03dbc382f26faccd1	negative
e8b8f14697a6c8eb512141b67f35b8734ac2a06a6455f3c819bc11c089757f50	highconf
2c66b02c123312b2fd932151755a77931bed81938a46cff52a96f26b590e643b	negative
c165b47e458aa180efcc9b249d29aadb176e1e594c00a51aa6b6b4c9a188a278	negative
f2bdcdb55ef3a7a89ed3c2b0a340719c458df9e00b496f5b420d854c177e196a	negative
4e5a62660aeb1f2973090c57389e0d40bb9eead794c63f68ec7be8e1b9e45553	lowconf
5ff06ad976a228c869e9fba996c1667ffb4b1d3e0acfd84cfa235ab23316965b	negative
77e179e83dd6592a5e325f0414f118ff8f50b7cab2774d8e1c3fc8417b398efe	negative
caba99a4ff3705b76ad1ff0b6240dcad764e64b963839300985bb248cac89171	highconf
8865d577d3bdca48f56d812e2defd4edf19f3c65339f40d1ecd81fd6d3e801e4	negative
9f6b16b1ecd55a2b2be6dc9c034f84e2ddf4e898d1686919d8d4bc1a666ec13f	negative
843dce160d553a05223189450ae09645849284b5b0dd2540c6911ef1558efc92	negative
59bcf023dad638bbe86364500d1d5eeeca5901391e3b544d027c7f849f1518a1	negative
3a7c79288fa48ac81f88c631597eed5decbf868bc3987976e154b405829e6ac0	negative
9b229d918f5ce5cfa8eb324da942aeb1cc30235ff0075244b5d9667faa0ff040	negative
b9ec4b9238984a32e2672a0c6933da720e9ecff73a12a726071017a876b9a515	negative
e30e34c2de4832f4800157342eeed52b10bcc7dedbf075ace3ef66d11bfc5312	negative
bb8ab98ddbc588bc58b432874a9659f63bc5f2145d3b1b8da6554531344d25c6	negative
ab3c042d8c8cea2142107d27ab41c641dbe0740f85ef9cae13e41cbb808482bd	negative
03f6d24c49e079bc4c51927c02d2ac8aca698663fcffa02e519151ac1f9c2a10	negative
6ccbe66bace47e721b8556e8698cda4c7ccd38323027504612fcd668b067204d	negative
e6b3748e661d0b23451fcc9e25e3a8fc1f9e24fc1b978a9bd06abae1701ea6f7	negative
a681c7e3c361fa4826e69340f9860a9918451b9ab4553ae85e34d1b2beafc20d	highconf
2c8ae4fbc3daad0fb02936abdc491b3d80b8fe37e6de8e1d1ad5ea7a5a82e5cf	negative
e68bb5527f94d89ea43c94da10a574a7d3e1415a85c5b949b83ea98580d184f7	negative
4b4e4a88769c52bd5ef68a22b9d0a47523e8bab1d5e1b5dbbe9bc21825507eab	negative
735371dc79694929b16f76b28365b26a3dbfbe6fb0bf3a924f0e328dd454e632	negative
494185f71b1e2f0ed60861a9c109e3a830a9e418f102c3b5f6f0e12f7dd1d38c	negative
62217649ab5c9f6c179f2c3a7180db643fdbf08fe0d5d799707be91e7bd3cef4	lowconf
f71fec9da53648370b0f667d35e63957c647d373a482d290c310a7d40d58e938	lowconf
104e411d94a9603bef297a883fdf64bf5db806848afbfa5f0af2790b524ee539	negative
83893c2d5518c739aa62ed550d6a215dcd57b531dc6c57e0e6a3b50fc806900b	negative
394ce4201a93742d5755fb940b950e248831ecd44edb2ddd764bbef51184bc01	lowconf
