fname,coef_os,coef_pfs,gid,select_os,select_pfs,select_both
Feature_fish_SeqWGS_Cp_10p14,-0.4585964683466012,-0.04346978182516591,10p14,True,False,False
Feature_fish_SeqWGS_Cp_10q23,-0.5144685561122924,-0.6741355090557603,10q23,True,True,True
Feature_fish_SeqWGS_Cp_11p15,-0.14103780817260397,-0.07157623887910938,11p15,False,False,False
Feature_fish_SeqWGS_Cp_11q23,0.504698531697106,0.1637033082500733,11q23,True,False,False
Feature_fish_SeqWGS_Cp_12p13,-0.5157611863731494,-0.3361676003356931,12p13,True,True,True
Feature_fish_SeqWGS_Cp_12q21,0.35888074254043084,-0.14337000944898376,12q21,True,False,False
Feature_fish_SeqWGS_Cp_13q14,0.10190165788088372,-0.008767652355972044,13q14,False,False,False
Feature_fish_SeqWGS_Cp_13q34,0.42768022995726707,0.2708168008847774,13q34,True,True,True
Feature_fish_SeqWGS_Cp_14q23,0.037413616096132155,0.027628697232857925,14q23,False,False,False
Feature_fish_SeqWGS_Cp_15q15,-0.40389246880442825,-0.08283932276971984,15q15,True,False,False
Feature_fish_SeqWGS_Cp_15q26,0.3860785451948694,-0.010613689875661844,15q26,True,False,False
Feature_fish_SeqWGS_Cp_16p12,0.39346146777391544,0.28134598168272423,16p12,True,True,True
Feature_fish_SeqWGS_Cp_16q22,0.18282321536730622,-0.14951226515484542,16q22,False,False,False
Feature_fish_SeqWGS_Cp_17p13,-0.19813658255791775,-0.10366436715923333,17p13,False,False,False
Feature_fish_SeqWGS_Cp_17q23,0.21269310016893975,0.02126164049988267,17q23,True,False,False
Feature_fish_SeqWGS_Cp_18p11,-0.5350264213821722,-0.3380301138522174,18p11,True,True,True
Feature_fish_SeqWGS_Cp_18q21,0.7116507799777203,0.4865335753300834,18q21,True,True,True
Feature_fish_SeqWGS_Cp_19p13,0.22508779214205804,0.3292856227728334,19p13,True,True,True
Feature_fish_SeqWGS_Cp_19q13,-0.1795813636343432,-0.24545491514937337,19q13,False,True,False
Feature_fish_SeqWGS_Cp_1p22,0.2947831823620464,0.07261535617520105,1p22,True,False,False
Feature_fish_SeqWGS_Cp_1q21,0.33403313929237255,0.2511178344046618,1q21,True,True,True
Feature_fish_SeqWGS_Cp_20p12,-0.0009748606755277499,0.17552234723336183,20p12,False,False,False
Feature_fish_SeqWGS_Cp_20q13,-0.31969778388692743,-0.07724968045927166,20q13,True,False,False
Feature_fish_SeqWGS_Cp_21q21,0.42238530760197485,-0.03381109485472645,21q21,True,False,False
Feature_fish_SeqWGS_Cp_21q22,-0.507039868365257,0.0016344411996042092,21q22,True,False,False
Feature_fish_SeqWGS_Cp_22q13,0.03359020006289766,-0.0224572399751359,22q13,False,False,False
Feature_fish_SeqWGS_Cp_2p23,-0.2585168581509588,-0.21437017482642576,2p23,True,True,True
Feature_fish_SeqWGS_Cp_2q22,-0.2299773411165847,0.1603353691326942,2q22,True,False,False
Feature_fish_SeqWGS_Cp_3p22,-0.10700116369729475,0.08056769455770166,3p22,False,False,False
Feature_fish_SeqWGS_Cp_3q21,-0.06578425463986745,-0.1994593462349885,3q21,False,False,False
Feature_fish_SeqWGS_Cp_4p15,-0.7680921522951433,-0.05589046677220478,4p15,True,False,False
Feature_fish_SeqWGS_Cp_4q31,0.4014796235166645,0.10197821579514764,4q31,True,False,False
Feature_fish_SeqWGS_Cp_5p15,0.4976576110433865,0.08507979348010289,5p15,True,False,False
Feature_fish_SeqWGS_Cp_5q31,-0.22051866999236736,0.18858641991033323,5q31,True,False,False
Feature_fish_SeqWGS_Cp_6p22,0.03732978754485525,-0.032420855110423974,6p22,False,False,False
Feature_fish_SeqWGS_Cp_6q25,0.16547758036430302,-0.09665017102322805,6q25,False,False,False
Feature_fish_SeqWGS_Cp_7p14,0.445365703241098,0.16569241509662727,7p14,True,False,False
Feature_fish_SeqWGS_Cp_7q22,-0.36393469222840136,-0.03794943852460742,7q22,True,False,False
Feature_fish_SeqWGS_Cp_8p22,0.10852490948813107,0.07496830184026641,8p22,False,False,False
Feature_fish_SeqWGS_Cp_8q24,0.5210263275232776,0.2780928616166134,8q24,True,True,True
Feature_fish_SeqWGS_Cp_9p13,0.23324522788548332,-0.25812933419074163,9p13,True,True,True
Feature_fish_SeqWGS_Cp_9q33,-0.3867577153613087,0.048959245976698026,9q33,True,False,False
Feature_fish_SeqWGS_Cp_BIRCs,-0.30586135789450847,-0.14278260185716724,BIRCs,True,False,False
Feature_fish_SeqWGS_Cp_CDKN2C,-0.5534614581285368,-0.3305457190230019,CDKN2C,True,True,True
Feature_fish_SeqWGS_Cp_CYLD,-0.0082772215075079,0.07491914089267143,CYLD,False,False,False
Feature_fish_SeqWGS_Cp_FAM46C,-0.4510492254018014,-0.17903073047443557,FAM46C,True,False,False
Feature_fish_SeqWGS_Cp_MYC,-0.15521177432131153,-0.08007841868914627,MYC,False,False,False
Feature_fish_SeqWGS_Cp_RB1,-0.4559319351833519,-0.28841687826747486,RB1,True,True,True
Feature_fish_SeqWGS_Cp_TP53,-0.17394179292328565,-0.09056504095433526,TP53,False,False,False
Feature_fish_SeqWGS_Cp_TRAF2,-0.01285634312765662,0.0042055741528092775,TRAF2,False,False,False
Feature_fish_SeqWGS_Cp_TRAF3,-0.23112861990604686,-0.042752184954992514,TRAF3,True,False,False
Feature_fish_SeqWGS_Cp_UTX,-0.629713977369344,-0.47406226136709273,UTX,True,True,True
Feature_fish_SeqWGS_Cp_Xp11,0.22760975604148803,0.12072047225656685,Xp11,True,False,False
Feature_fish_SeqWGS_Cp_Xq22,0.1861345528443253,0.08291752585797324,Xq22,False,False,False
Feature_fish_SeqWGS_Cp_Hyperdiploid_Chr_Count,0.011329201902333514,0.0994159762305648,Hyperdiploid_Chr_Count,False,False,False
Feature_fish_SeqWGS_Cp_Hyperdiploid_Call,-0.1372872029457899,-0.2232203060687555,Hyperdiploid_Call,False,True,False
