fname,coef_os,coef_pfs,gid,select_os,select_pfs,select_both
Feature_CNA_Amp_1p36.33 ,0.022967508008857582,-0.11334979490246412,Amp_1p36.33 ,False,False,False
Feature_CNA_Amp_1q21.1  ,0.4485626518771163,0.24430816814901335,Amp_1q21.1  ,True,True,True
Feature_CNA_Amp_1q21.3  ,-0.3289980735174792,-0.13839011808296078,Amp_1q21.3  ,True,False,False
Feature_CNA_Amp_1q23.3  ,0.562269309256049,0.39857768539940913,Amp_1q23.3  ,True,True,True
Feature_CNA_Amp_1q31.3  ,-0.03489351506019908,-0.017671126616886593,Amp_1q31.3  ,False,False,False
Feature_CNA_Amp_1q44    ,-0.2265508719375163,-0.18864952812075908,Amp_1q44    ,True,False,False
Feature_CNA_Amp_2p13.3  ,0.042012170595360665,0.2617055369125742,Amp_2p13.3  ,False,True,False
Feature_CNA_Amp_2p11.2  ,0.11714297250043254,0.039739291015350654,Amp_2p11.2  ,False,False,False
Feature_CNA_Amp_2p11.2  .1,-0.286715278690101,-0.4391340176982127,Amp_2p11.2  .1,True,True,True
Feature_CNA_Amp_3p21.1  ,-0.3407910742788482,-0.12131497640515061,Amp_3p21.1  ,True,False,False
Feature_CNA_Amp_3p12.3  ,0.14204183090728822,0.07462059496498849,Amp_3p12.3  ,False,False,False
Feature_CNA_Amp_3q23    ,0.2700845297990968,0.09463134394241832,Amp_3q23    ,True,False,False
Feature_CNA_Amp_3q26.1  ,0.13441481893799462,0.10244333890334562,Amp_3q26.1  ,False,False,False
Feature_CNA_Amp_3q26.2  ,-0.31401391527962236,-0.14566090777850688,Amp_3q26.2  ,True,False,False
Feature_CNA_Amp_4p16.1  ,0.11643697767924632,0.49640984022134577,Amp_4p16.1  ,False,True,False
Feature_CNA_Amp_4q31.3  ,-0.09549727581339582,0.020227751909791352,Amp_4q31.3  ,False,False,False
Feature_CNA_Amp_4q35.1  ,-0.387381533028413,-0.36041372600218063,Amp_4q35.1  ,True,True,True
Feature_CNA_Amp_5p15.33 ,0.4231147243072364,0.11375737447181059,Amp_5p15.33 ,True,False,False
Feature_CNA_Amp_5p12    ,-0.2632395066068984,-0.19285842805809297,Amp_5p12    ,True,False,False
Feature_CNA_Amp_5q31.2  ,0.16511307574157857,0.2457676945250509,Amp_5q31.2  ,False,True,False
