endpoint,shuffle,fold,nan_count,total_count,pcMissing
os,0,0,337157,1074885,31.37
os,0,1,351551,1117515,31.46
os,0,2,348687,1107365,31.49
os,0,3,351197,1121664,31.31
os,0,4,342119,1088136,31.44
os,1,0,336723,1080975,31.15
os,1,1,341802,1087065,31.44
os,1,2,355302,1127665,31.51
os,1,3,346671,1106424,31.33
os,1,4,342087,1089152,31.41
os,2,0,337750,1076915,31.36
os,2,1,369759,1176385,31.43
os,2,2,348047,1111425,31.32
os,2,3,335909,1075944,31.22
os,2,4,346893,1107440,31.32
os,3,0,354237,1126650,31.44
os,3,1,352264,1121575,31.41
os,3,2,342257,1092140,31.34
os,3,3,341679,1089152,31.37
os,3,4,333666,1066800,31.28
os,4,0,340602,1085035,31.39
os,4,1,349547,1111425,31.45
os,4,2,333701,1066765,31.28
os,4,3,350071,1117600,31.32
os,4,4,342825,1095248,31.30
os,5,0,360750,1142890,31.56
os,5,1,331198,1060675,31.23
os,5,2,338299,1085035,31.18
os,5,3,340809,1089152,31.29
os,5,4,373979,1186688,31.51
os,6,0,333525,1064735,31.32
os,6,1,346362,1101275,31.45
os,6,2,363140,1152025,31.52
os,6,3,364645,1165352,31.29
os,6,4,335179,1070864,31.30
os,7,0,352716,1121575,31.45
os,7,1,331329,1054585,31.42
os,7,2,334764,1069810,31.29
os,7,3,344709,1102360,31.27
os,7,4,333904,1069848,31.21
os,8,0,351445,1121575,31.33
os,8,1,344446,1095185,31.45
os,8,2,322858,1037330,31.12
os,8,3,354477,1129792,31.38
os,8,4,350698,1117600,31.38
os,9,0,331679,1059660,31.30
os,9,1,347148,1103305,31.46
os,9,2,344758,1095185,31.48
os,9,3,335470,1070864,31.33
os,9,4,350010,1122680,31.18
pfs,0,0,410102,1286005,31.89
pfs,0,1,412918,1284990,32.13
pfs,0,2,402576,1257585,32.01
pfs,0,3,380414,1193800,31.87
pfs,0,4,404775,1266952,31.95
pfs,1,0,396036,1239315,31.96
pfs,1,1,388964,1220030,31.88
pfs,1,2,390127,1224090,31.87
pfs,1,3,388885,1222248,31.82
pfs,1,4,404021,1259840,32.07
pfs,2,0,387767,1212925,31.97
pfs,2,1,424093,1324575,32.02
pfs,2,2,390162,1226120,31.82
pfs,2,3,373391,1174496,31.79
pfs,2,4,390632,1224280,31.91
pfs,3,0,400037,1252510,31.94
pfs,3,1,403667,1268750,31.82
pfs,3,2,397402,1238300,32.09
pfs,3,3,394038,1230376,32.03
pfs,3,4,402812,1261872,31.92
pfs,4,0,388341,1214955,31.96
pfs,4,1,407092,1271795,32.01
pfs,4,2,400647,1255555,31.91
pfs,4,3,388959,1222248,31.82
pfs,4,4,390092,1222248,31.92
pfs,5,0,402793,1256570,32.05
pfs,5,1,388335,1214955,31.96
pfs,5,2,398956,1251495,31.88
pfs,5,3,415279,1294384,32.08
pfs,5,4,394497,1242568,31.75
pfs,6,0,380694,1197700,31.79
pfs,6,1,400342,1253525,31.94
pfs,6,2,403572,1262660,31.96
pfs,6,3,422375,1322832,31.93
pfs,6,4,384707,1203960,31.95
pfs,7,0,391913,1226120,31.96
pfs,7,1,397731,1239315,32.09
pfs,7,2,394070,1241345,31.75
pfs,7,3,398435,1250696,31.86
pfs,7,4,400257,1252728,31.95
pfs,8,0,402851,1258600,32.01
pfs,8,1,411519,1280930,32.13
pfs,8,2,401687,1259615,31.89
pfs,8,3,403752,1264920,31.92
pfs,8,4,404821,1270000,31.88
pfs,9,0,389084,1215970,32.00
pfs,9,1,389728,1221045,31.92
pfs,9,2,398402,1246420,31.96
pfs,9,3,392022,1224280,32.02
pfs,9,4,402091,1261872,31.86
